test,rad,TGV.forb,TGV.scat,TGV.score,TGV2.forb,TGV2.scat,TGV2.score,MFCS.forb,MFCS.scat,MFCS.score,mix_tree.forb,mix_tree.scat,mix_tree.score,mix_tree_shrink.forb,mix_tree_shrink.scat,mix_tree_shrink.score,mix_ldit.forb,mix_ldit.scat,mix_ldit.score,mix_ldpow.forb,mix_ldpow.scat,mix_ldpow.score
bergen,1,0,4,4,0,9,9,0,12,12,0,23,23,0,23,23,0,23,23,0,23,23
dolphins,1,0,13,13,0,19,19,0,15,15,0,27,27,0,27,27,0,27,27,0,27,27
football,1,0,14,14,0,16,16,0,9,9,0,20,20,0,20,20,0,20,20,0,21,21
fvs002,1,0,125,125,0,173,173,0,125,125,0,257,257,0,257,257,0,257,257,0,257,257
fvs020,1,0,22,22,0,26,26,0,19,19,0,43,43,0,43,43,0,43,43,0,43,43
fvs033,1,0,220,220,0,230,230,0,156,156,0,268,268,0,268,268,0,268,268,0,271,271
fvs047,1,0,26,26,0,27,27,0,16,16,0,34,34,0,34,34,0,34,34,0,34,34
fvs051,1,0,11,11,0,12,12,0,6,6,0,15,15,0,15,15,0,15,15,0,15,15
fvs066,1,0,27,27,0,32,32,0,16,16,0,73,73,0,73,73,0,73,73,0,73,73
fvs097,1,0,16,16,0,19,19,0,13,13,0,24,24,0,24,24,0,24,24,0,24,24
fvs099,1,0,11,11,0,13,13,0,11,11,0,17,17,0,17,17,0,17,17,0,17,17
fvs100,1,0,32,32,0,33,33,0,27,27,0,48,48,0,48,48,0,48,48,0,48,48
hex,1,0,78,78,0,81,81,0,72,72,0,91,91,0,91,91,0,91,91,0,91,91
karate,1,0,8,8,0,8,8,0,11,11,0,20,20,0,20,20,0,20,20,0,20,20
lesmiserables,1,0,12,12,0,23,23,0,19,19,0,35,35,0,35,35,0,35,35,0,35,35
photoviz_dynamic,1,0,55,55,0,73,73,0,56,56,0,264,264,0,264,264,0,264,264,0,264,264
planar302,1,0,28,28,0,68,68,0,29,29,0,134,134,0,134,134,0,134,134,0,134,134
planar350,1,0,40,40,0,96,96,0,51,51,0,165,165,0,165,165,0,165,165,0,165,165
planar400,1,0,58,58,0,114,114,0,71,71,0,201,201,0,201,201,0,201,201,0,201,201
planar500,1,0,87,87,0,168,168,0,111,111,0,268,268,0,268,268,0,268,268,0,268,268
planar600,1,0,119,119,0,218,218,0,143,143,0,320,320,0,320,320,0,320,320,0,320,320
polbooks,1,0,10,10,0,24,24,0,8,8,0,42,42,0,42,42,0,42,42,0,42,42
word_adjacencies,1,0,14,14,0,36,36,0,17,17,0,53,53,0,53,53,0,53,53,0,53,53
bergen,2,1,2,2,2,4,3,18,22,2,0,4,4,0,4,4,0,5,5,0,5,5
dolphins,2,0,5,5,0,6,6,12,14,1,0,11,11,0,11,11,0,11,11,0,13,13
football,2,0,3,3,0,5,5,30,13,1,0,4,4,0,4,4,0,5,5,0,6,6
fvs002,2,0,55,55,0,78,78,0,63,63,0,99,99,0,99,99,0,102,102,0,120,120
fvs020,2,0,9,9,0,12,12,0,11,11,0,14,14,0,14,14,0,14,14,0,20,20
fvs033,2,0,102,102,0,111,111,0,67,67,0,91,91,0,91,91,0,95,95,0,132,132
fvs047,2,0,9,9,0,11,11,0,7,7,0,9,9,0,9,9,0,11,11,0,14,14
fvs051,2,1,3,3,1,7,7,8,5,1,1,3,3,1,3,3,1,3,3,1,7,7
fvs066,2,0,4,4,0,5,5,25,14,1,0,4,4,0,4,4,0,4,4,1,9,9
fvs097,2,0,7,7,0,8,8,0,6,6,0,8,8,0,8,8,0,8,8,0,10,10
fvs099,2,0,6,6,0,7,7,2,7,2,0,9,9,0,9,9,0,9,9,0,9,9
fvs100,2,0,16,16,0,16,16,0,11,11,0,16,16,0,16,16,0,15,15,0,20,20
hex,2,0,30,30,0,38,38,0,26,26,0,27,27,0,27,27,0,27,27,0,46,46
karate,2,1,4,3,1,5,4,7,13,2,2,11,6,2,7,7,2,11,6,3,12,5
lesmiserables,2,1,8,7,1,12,9,19,34,7,0,10,10,0,10,10,0,10,10,0,10,10
photoviz_dynamic,2,0,35,35,0,44,44,0,40,40,0,50,50,0,50,50,0,50,50,0,51,51
planar302,2,0,6,6,0,19,19,59,91,2,0,27,27,0,27,27,0,30,30,0,36,36
planar350,2,0,9,9,0,24,24,32,55,3,0,45,45,0,45,45,0,45,45,0,51,51
planar400,2,0,16,16,0,37,37,2,23,19,0,63,63,0,63,63,0,68,68,0,75,75
planar500,2,0,27,27,0,58,58,0,30,30,0,94,94,0,94,94,0,97,97,0,111,111
planar600,2,0,47,47,0,85,85,0,57,57,0,120,120,0,120,120,0,121,121,0,142,142
polbooks,2,0,3,3,0,4,4,22,22,1,0,8,8,0,8,8,0,9,9,0,12,12
word_adjacencies,2,2,6,3,0,7,7,31,39,2,0,14,14,0,14,14,0,14,14,0,17,17
bergen,3,5,2,1,5,2,1,23,22,2,0,2,2,0,2,2,0,2,2,0,2,2
dolphins,3,1,5,4,1,5,4,13,15,2,0,5,5,0,5,5,0,5,5,0,6,6
football,3,1,2,2,1,2,2,54,12,1,0,2,2,0,2,2,0,2,2,0,2,2
fvs002,3,0,31,31,0,46,46,16,50,27,0,72,72,0,72,72,0,71,71,0,80,80
fvs020,3,0,7,7,0,8,8,1,8,6,0,10,10,0,10,10,0,10,10,0,11,11
fvs033,3,0,52,52,0,58,58,0,31,31,0,60,60,0,60,60,0,60,60,0,76,76
fvs047,3,0,5,5,0,5,5,11,9,1,0,5,5,0,5,5,0,6,6,0,8,8
fvs051,3,0,1,1,0,1,1,18,5,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs066,3,0,3,3,0,4,4,60,13,1,0,4,4,0,4,4,0,4,4,1,9,9
fvs097,3,0,4,4,0,6,6,0,6,6,0,7,7,0,7,7,0,8,8,0,8,8
fvs099,3,0,4,4,0,5,5,7,12,2,0,7,7,0,7,7,0,7,7,0,7,7
fvs100,3,0,9,9,0,12,12,4,7,3,0,15,15,0,15,15,0,14,14,0,16,16
hex,3,0,17,17,0,21,21,0,14,14,0,27,27,0,27,27,0,27,27,0,27,27
karate,3,2,6,5,2,6,5,8,18,5,2,9,6,2,7,7,2,9,6,3,10,5
lesmiserables,3,1,7,7,1,7,7,20,35,7,0,6,6,0,6,6,0,6,6,1,12,7
photoviz_dynamic,3,0,19,19,0,28,28,1,24,19,0,43,43,0,43,43,0,43,43,0,45,45
planar302,3,3,5,2,1,7,4,94,121,2,0,13,13,0,13,13,0,15,15,0,19,19
planar350,3,0,3,3,0,9,9,89,124,2,0,22,22,0,22,22,0,23,23,0,27,27
planar400,3,0,6,6,0,14,14,108,160,2,0,33,33,0,33,33,0,35,35,0,40,40
planar500,3,0,6,6,0,27,27,99,193,4,0,56,56,0,56,56,0,58,58,0,65,65
planar600,3,0,22,22,0,57,57,86,212,8,0,85,85,0,85,85,0,87,87,0,91,91
polbooks,3,2,3,2,2,3,2,37,28,1,0,3,3,0,3,3,0,4,4,0,5,5
word_adjacencies,3,0,1,1,6,6,2,42,42,2,0,6,6,0,6,6,0,6,6,0,8,8
bergen,4,0,1,1,0,1,1,23,22,2,0,1,1,0,1,1,0,1,1,5,3,2
dolphins,4,1,4,3,1,4,3,22,16,2,0,2,2,0,2,2,0,2,2,0,4,4
football,4,0,1,1,0,1,1,59,12,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs002,4,0,18,18,0,35,35,0,22,22,0,42,42,0,42,42,0,48,48,0,56,56
fvs020,4,0,5,5,0,6,6,9,17,2,0,8,8,0,8,8,0,8,8,0,9,9
fvs033,4,0,29,29,0,38,38,0,18,18,0,21,21,0,21,21,0,25,25,0,43,43
fvs047,4,0,3,3,0,3,3,31,15,1,0,3,3,0,3,3,0,3,3,0,5,5
fvs051,4,12,2,1,12,2,1,24,5,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs066,4,9,2,1,9,2,1,81,13,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs097,4,0,3,3,0,3,3,34,12,1,0,4,4,0,4,4,0,4,4,0,6,6
fvs099,4,2,4,2,2,4,2,9,12,2,0,4,4,0,4,4,0,4,4,0,5,5
fvs100,4,0,5,5,0,5,5,15,8,1,0,5,5,0,5,5,0,7,7,0,12,12
hex,4,0,13,13,0,14,14,0,12,12,0,9,9,0,9,9,0,10,10,0,19,19
karate,4,2,6,5,2,6,5,10,19,5,2,7,6,2,6,6,2,7,5,6,15,6
lesmiserables,4,1,7,7,1,7,7,20,35,7,1,4,3,1,3,3,1,4,3,4,13,7
photoviz_dynamic,4,0,11,11,0,18,18,54,133,8,0,23,23,0,23,23,0,26,26,0,28,28
planar302,4,0,1,1,0,1,1,97,122,2,0,5,5,0,5,5,0,5,5,0,8,8
planar350,4,2,6,3,3,7,3,113,158,2,0,10,10,0,10,10,0,11,11,0,13,13
planar400,4,7,9,3,7,9,3,131,191,2,0,18,18,0,18,18,0,21,21,0,21,21
planar500,4,7,9,4,0,9,9,119,232,4,0,22,22,0,22,22,0,24,24,0,32,32
planar600,4,0,14,14,0,27,27,125,268,5,0,49,49,0,49,49,0,49,49,0,56,56
polbooks,4,0,2,2,0,2,2,45,34,1,0,2,2,0,2,2,0,2,2,0,2,2
word_adjacencies,4,10,3,1,6,3,1,48,42,2,0,3,3,0,3,3,0,3,3,0,3,3
bergen,5,3,5,2,3,5,2,23,22,2,0,1,1,0,1,1,0,1,1,0,1,1
dolphins,5,2,4,2,2,4,2,23,19,2,0,2,2,0,2,2,0,2,2,4,6,3
football,5,0,1,1,0,1,1,67,12,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs002,5,0,10,10,0,25,25,67,121,7,0,31,31,0,31,31,0,35,35,0,39,39
fvs020,5,0,4,4,0,5,5,6,14,3,0,5,5,0,5,5,0,6,6,0,7,7
fvs033,5,0,11,11,0,19,19,50,38,1,0,13,13,0,13,13,0,15,15,0,25,25
fvs047,5,0,3,3,0,3,3,34,15,1,0,2,2,0,2,2,0,2,2,0,3,3
fvs051,5,0,1,1,0,1,1,25,5,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs066,5,0,1,1,0,1,1,86,13,1,0,1,1,0,1,1,0,1,1,0,1,1
fvs097,5,0,2,2,5,2,2,46,12,1,0,2,2,0,2,2,0,2,2,0,2,2
fvs099,5,2,4,2,2,4,2,9,12,2,0,2,2,0,2,2,0,2,2,0,3,3
fvs100,5,0,4,4,0,4,4,32,11,1,0,4,4,0,4,4,0,4,4,0,5,5
hex,5,0,9,9,0,11,11,2,9,7,0,9,9,0,9,9,0,10,10,0,14,14
karate,5,2,6,5,2,6,5,10,19,5,2,7,6,2,6,6,2,7,5,4,10,6
lesmiserables,5,1,7,7,1,7,7,20,35,7,1,2,2,1,2,2,1,2,2,4,13,7
photoviz_dynamic,5,0,9,9,0,12,12,66,158,9,0,19,19,0,19,19,0,20,20,0,21,21
planar302,5,0,1,1,0,1,1,97,122,2,0,3,3,0,3,3,0,3,3,0,5,5
planar350,5,6,4,2,6,4,2,112,158,2,0,5,5,0,5,5,0,6,6,0,6,6
planar400,5,6,6,2,6,6,2,131,195,2,0,11,11,0,11,11,0,12,12,0,13,13
planar500,5,1,5,3,1,10,3,133,249,4,0,13,13,0,13,13,0,15,15,0,19,19
planar600,5,0,12,12,0,18,18,142,284,5,0,36,36,0,36,36,0,36,36,0,38,38
polbooks,5,0,1,1,0,1,1,46,34,1,0,2,2,0,2,2,0,1,1,0,2,2
word_adjacencies,5,0,1,1,0,1,1,49,42,2,0,1,1,0,1,1,0,1,1,1,2,2
